Id Product_List Bill cust_id Order_Date Status
1 1,3 44.98 201 2026-05-01 Shipped
2 2 49.99 202 2026-05-02 Processing
3 4 199.99 203 2026-05-03 Delivered
4 5,6 99.98 204 2026-05-04 Cancelled
5 7 29.99 205 2026-05-05 Shipped
6 8,10 109.98 206 2026-05-06 Processing
7 9 15.99 207 2026-05-07 Delivered
8 11,12,13 109.97 208 2026-05-08 Shipped
9 14 399.99 209 2026-05-09 Processing
10 15 12.49 210 2026-05-10 Delivered 
//added orders
11 15 12.49 210 2026-05-12 Delivered 
12 10 109.98 209 2026-05-25 Processing
13 7 29.99 205 2026-04-29 Shipped
14 3,2 49.99 201 2026-04-29 Shipped
